Entry	Gene names  (ordered locus )	Gene names  (primary )	Gene names  (synonym )	Protein names	Function [CC]	Catalytic activity	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology (biological process)	Gene ontology (cellular component)	Subcellular location [CC]	Pathway	Cofactor	Subunit structure [CC]	EC number	Length	Activity regulation	Kinetics	Miscellaneous [CC]	Status	Protein existence	Proteomes
P73832	slr2001	cphB		Cyanophycinase (EC 3.4.15.6)	FUNCTION: Exopeptidase that catalyzes the hydrolytic cleavage of multi-L-arginyl-poly-L-aspartic acid (cyanophycin; a water-insoluble reserve polymer) into aspartate-arginine dipeptides. {ECO:0000269|PubMed:10429200, ECO:0000269|PubMed:19591842}.	CATALYTIC ACTIVITY: Reaction=[L-4-(L-arginin-2-N-yl)aspartate](n) + H2O = [L-4-(L-arginin-2-N-yl)aspartate](n-1) + L-4-(L-arginin-2-N-yl)aspartate; Xref=Rhea:RHEA:12845, Rhea:RHEA-COMP:13728, Rhea:RHEA-COMP:13734, ChEBI:CHEBI:15377, ChEBI:CHEBI:137986, ChEBI:CHEBI:137991; EC=3.4.15.6; Evidence={ECO:0000269|PubMed:10429200, ECO:0000269|PubMed:19591842};	protein homodimerization activity [GO:0042803]; serine-type peptidase activity [GO:0008236]; cellular macromolecule metabolic process [GO:0044260]	protein homodimerization activity [GO:0042803]; serine-type peptidase activity [GO:0008236]	cellular macromolecule metabolic process [GO:0044260]					SUBUNIT: Homodimer. {ECO:0000269|PubMed:19591842}.	3.4.15.6	271		BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=2.2 uM for cyanophycin (at 30 degrees Celsius and pH 8.0) {ECO:0000269|PubMed:10429200, ECO:0000269|PubMed:19591842}; Note=kcat is 16.5 sec(-1) for cyanophycin.;		reviewed	Evidence at protein level	UP000001425: Chromosome
Q55650	slr0355	bioU		(S)-8-amino-7-oxononanoate synthase BioU (EC 2.6.1.-) (8-amino-7-oxononanoate carboxylating dehydrogenase)	FUNCTION: A 'suicide' enzyme that participates in biotin synthesis. Catalyzes the formation of (S)-8-amino-7-oxononanoate (DAN-carbamic acid) from (7R,8S)-8-amino-7-(carboxyamino)nonanoate (DAN), a function equivalent to the cannonical BioA reaction and the first half-reaction of BioD. The cellular requirement for biotin is thought be low enough that this single turnover enzyme supplies a sufficient amount of the cofactor. Overall it catalyzes three reactions: formation of a covalent linkage with 8-amino-7-oxononanoate to yield a BioU-DAN conjugate at the epsilon-amino group of Lys124 of BioU using NAD(P)H, carboxylation of the conjugate to form BioU-DAN-carbamic acid, and release of DAN-carbamic acid using NAD(P)+ (By similarity) (PubMed:32042199). A coupled Synechocystis BioU/BioD assay produces dethiobiotin from DAN. Complements a bioA deletion in E.coli but not a bioD1 deletion (PubMed:32042199). {ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}.	CATALYTIC ACTIVITY: Reaction=(S)-8-amino-7-oxononanoate + CO2 + L-lysyl-[protein] = (7R,8S)-8-amino-7-(carboxyamino)nonanoate + (S)-2-amino-6-oxohexanoyl-[protein] + 2 H(+); Xref=Rhea:RHEA:63660, Rhea:RHEA-COMP:9752, Rhea:RHEA-COMP:12448, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:29969, ChEBI:CHEBI:131803, ChEBI:CHEBI:149468, ChEBI:CHEBI:149470; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199};PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:63661; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}; CATALYTIC ACTIVITY: Reaction=(S)-8-amino-7-oxononanoate + H(+) + L-lysyl-[protein] + NADPH = H2O + N(6)-[(2S,3R)-2-amino-8-carboxyoctan-3-yl]-L-lysyl-[protein] + NADP(+); Xref=Rhea:RHEA:63664, Rhea:RHEA-COMP:9752, Rhea:RHEA-COMP:16405, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:29969, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:149468, ChEBI:CHEBI:149472; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000305|PubMed:32042199};PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:63665; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}; CATALYTIC ACTIVITY: Reaction=CO2 + H2O + N(6)-[(2S,3R)-2-amino-8-carboxyoctan-3-yl]-L-lysyl-[protein] + NADP(+) = (7R,8S)-8-amino-7-(carboxyamino)nonanoate + (S)-2-amino-6-oxohexanoyl-[protein] + 3 H(+) + NADPH; Xref=Rhea:RHEA:63668, Rhea:RHEA-COMP:12448, Rhea:RHEA-COMP:16405, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:131803, ChEBI:CHEBI:149470, ChEBI:CHEBI:149472; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000305|PubMed:32042199};PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:63669; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}; CATALYTIC ACTIVITY: Reaction=(S)-8-amino-7-oxononanoate + H(+) + L-lysyl-[protein] + NADH = H2O + N(6)-[(2S,3R)-2-amino-8-carboxyoctan-3-yl]-L-lysyl-[protein] + NAD(+); Xref=Rhea:RHEA:63672, Rhea:RHEA-COMP:9752, Rhea:RHEA-COMP:16405, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:29969, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:149468, ChEBI:CHEBI:149472; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199};PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:63673; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}; CATALYTIC ACTIVITY: Reaction=CO2 + H2O + N(6)-[(2S,3R)-2-amino-8-carboxyoctan-3-yl]-L-lysyl-[protein] + NAD(+) = (7R,8S)-8-amino-7-(carboxyamino)nonanoate + (S)-2-amino-6-oxohexanoyl-[protein] + 3 H(+) + NADH; Xref=Rhea:RHEA:63676, Rhea:RHEA-COMP:12448, Rhea:RHEA-COMP:16405, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:131803, ChEBI:CHEBI:149470, ChEBI:CHEBI:149472; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199};PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:63677; Evidence={ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199};	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity [GO:0016491]; transaminase activity [GO:0008483]; biotin biosynthetic process [GO:0009102]; cellular amino acid metabolic process [GO:0006520]	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity [GO:0016491]; transaminase activity [GO:0008483]	biotin biosynthetic process [GO:0009102]; cellular amino acid metabolic process [GO:0006520]			PATHWAY: Cofactor biosynthesis; biotin biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}.		SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}.	2.6.1.-	331			MISCELLANEOUS: In canonical biotin synthesis a pimeloyl-conjugate is transformed into biotin by the subsequent action of BioF, BioA, BioD and BioB. This enzyme replaces BioA and performs the first half-reaction of BioD. In Synechocystis BioD acts on the product of this enzyme. {ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}.	reviewed	Evidence at protein level	UP000001425: Chromosome
P77961	slr1756	glnA		Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	FUNCTION: Involved in nitrogen metabolism via ammonium assimilation (PubMed:8002575). Catalyzes the ATP-dependent biosynthesis of glutamine from glutamate and ammonia (PubMed:1973929, PubMed:8002575). {ECO:0000269|PubMed:1973929, ECO:0000269|PubMed:8002575}.	CATALYTIC ACTIVITY: Reaction=ATP + L-glutamate + NH4(+) = ADP + H(+) + L-glutamine + phosphate; Xref=Rhea:RHEA:16169, ChEBI:CHEBI:15378, ChEBI:CHEBI:28938, ChEBI:CHEBI:29985, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:58359, ChEBI:CHEBI:456216; EC=6.3.1.2; Evidence={ECO:0000305|PubMed:1973929};	cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; metal ion binding [GO:0046872]; glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; metal ion binding [GO:0046872]	glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]	cytoplasm [GO:0005737]; membrane [GO:0016020]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P9WN39}.		COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:1973929, ECO:0000269|Ref.6};  Note=Binds 2 Mg(2+) ions per subunit (Ref.6). Also able to bind Co(2+), Mn(2+) and Ca(2+) ion (PubMed:1973929). {ECO:0000269|PubMed:1973929, ECO:0000269|Ref.6};	SUBUNIT: Oligomer of 12 subunits arranged in the form of two hexagons. {ECO:0000269|PubMed:1973929}.	6.3.1.2	473	ACTIVITY REGULATION: Inhibited by ADP (90%), AMP (80%), alanine (52%) and aspartate (41%) (PubMed:1973929). The activity of this enzyme could be controlled by adenylation under conditions of abundant glutamine (By similarity). {ECO:0000250|UniProtKB:Q3V5W6, ECO:0000269|PubMed:1973929}.	BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=0.17 mM for ammonium {ECO:0000269|PubMed:1973929}; KM=0.55 mM for ATP {ECO:0000269|PubMed:1973929}; KM=1.2 mM for L-glutamate {ECO:0000269|PubMed:1973929}; KM=14.3 mM for L-glutamine {ECO:0000269|PubMed:1973929}; KM=14.5 mM for hydroxylamine {ECO:0000269|PubMed:1973929}; 		reviewed	Evidence at protein level	UP000001425: Chromosome
P73911	sll1987	katG		Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	FUNCTION: Bifunctional enzyme with both catalase and broad-spectrum peroxidase activity. Displays also NADH oxidase, isoniazid hydrazine lyase and isonicotinoyl-NAD synthase activity.	CATALYTIC ACTIVITY: Reaction=AH2 + H2O2 = A + 2 H2O; Xref=Rhea:RHEA:30275, ChEBI:CHEBI:13193, ChEBI:CHEBI:15377, ChEBI:CHEBI:16240, ChEBI:CHEBI:17499; EC=1.11.1.21; Evidence={ECO:0000255|HAMAP-Rule:MF_01961}; CATALYTIC ACTIVITY: Reaction=2 H2O2 = 2 H2O + O2; Xref=Rhea:RHEA:20309, ChEBI:CHEBI:15377, ChEBI:CHEBI:15379, ChEBI:CHEBI:16240; EC=1.11.1.21; Evidence={ECO:0000255|HAMAP-Rule:MF_01961};	cytosol [GO:0005829]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	cytosol [GO:0005829]			COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344;  Note=Binds 1 heme b (iron(II)-protoporphyrin IX) group per dimer.;	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10543446, ECO:0000269|PubMed:9919646}.	1.11.1.21	754		BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=20 mM for H(2)O(2) for the catalase reaction (at pH 5.5-6.0) {ECO:0000269|PubMed:10543446, ECO:0000269|PubMed:18178143, ECO:0000269|PubMed:9919646}; KM=3.1 mM for H(2)O(2) for the catalase reaction (at pH 7.0) {ECO:0000269|PubMed:10543446, ECO:0000269|PubMed:18178143, ECO:0000269|PubMed:9919646}; KM=1000 uM for H(2)O(2) for the peroxidase reaction {ECO:0000269|PubMed:10543446, ECO:0000269|PubMed:18178143, ECO:0000269|PubMed:9919646}; KM=7 uM for ABTS for the peroxidase reaction {ECO:0000269|PubMed:10543446, ECO:0000269|PubMed:18178143, ECO:0000269|PubMed:9919646}; Vmax=6000 umol/min/mg enzyme for H(2)O(2) for the catalase reaction (at pH 5.5-6.0) {ECO:0000269|PubMed:10543446, ECO:0000269|PubMed:18178143, ECO:0000269|PubMed:9919646}; Vmax=5400 umol/min/mg enzyme for H(2)O(2) for the catalase reaction (at pH 7.0) {ECO:0000269|PubMed:10543446, ECO:0000269|PubMed:18178143, ECO:0000269|PubMed:9919646}; Vmax=9.3 umol/min/mg enzyme for ABTS for the peroxidase reaction {ECO:0000269|PubMed:10543446, ECO:0000269|PubMed:18178143, ECO:0000269|PubMed:9919646}; 	MISCELLANEOUS: In contrast to the M.tuberculosis enzyme, no Trp radical is formed on the proximal Trp residue (Trp-341).	reviewed	Evidence at protein level	UP000001425: Chromosome
Q55804	slr0083	crhR	deaD	RNA helicase CrhR (EC 3.6.4.13)	FUNCTION: An ATP-dependent bidirectional RNA helicase with RNA-dependent ATPase activity; does not unwind dsDNA, uses only (d)ATP (PubMed:15542859). Also has ATP-dependent RNA annealing activity; concurrent annealing and helicase activity promote strand-exchange activity (PubMed:15542859). In vitro has low helicase processivity, annealing processivity is probably higher (PubMed:15542859). Required for correct cold adaptation, probably by aiding translation of mRNAs required for photosynthesis and electron transport (PubMed:22575444). Probably regulates the cold-shock-inducible expression of the GroESL chaperones (PubMed:19926653). May partially regulate its own expression at both the transcriptional and post-transcriptional level (experiments used a construct expressing a 25 kDa trunacted protein which might have dominant-negative effects); is probably not directly involved in the pathway responsible for mRNA degradation (PubMed:23119089). {ECO:0000269|PubMed:15542859, ECO:0000269|PubMed:19926653, ECO:0000269|PubMed:22575444, ECO:0000305|PubMed:23119089}.	CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.13; Evidence={ECO:0000269|PubMed:15542859};	cytosol [GO:0005829]; plasma membrane-derived thylakoid membrane [GO:0031676]; 3'-5' RNA helicase activity [GO:0034458]; 5'-3' RNA helicase activity [GO:0032574]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]; RNA strand-exchange activity [GO:0034057]; ribosomal large subunit assembly [GO:0000027]	3'-5' RNA helicase activity [GO:0034458]; 5'-3' RNA helicase activity [GO:0032574]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]; RNA strand-exchange activity [GO:0034057]	ribosomal large subunit assembly [GO:0000027]	cytosol [GO:0005829]; plasma membrane-derived thylakoid membrane [GO:0031676]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19926653, ECO:0000269|PubMed:22368073, ECO:0000269|PubMed:23119089, ECO:0000269|PubMed:27215789}. Cell inner membrane {ECO:0000305|PubMed:27215789}; Peripheral membrane protein {ECO:0000305}. Cellular thylakoid membrane {ECO:0000269|PubMed:27215789}; Peripheral membrane protein {ECO:0000305}. Note=A small amount is localized to the cell inner membrane and the thylakoid membrane, and cosediments with polysomes. {ECO:0000269|PubMed:27215789}.				3.6.4.13	492	ACTIVITY REGULATION: Helicase inhibited by the slowly-hydrolyzing ATP analog ATP-gamma-S (PubMed:15542859). Protein is rapidly degraded upon shifting from 20 to 30 degrees Celsius, the degradation machinery is only transiently present in cells grown at 30 degrees Celsius, is inhibited by commercial protease inhibitors and requires full-length protein expression (the N-terminal fragment does not induce proteolysis although it can be degraded by widl-type extract) (PubMed:24509313). {ECO:0000269|PubMed:15542859, ECO:0000269|PubMed:24509313}.			reviewed	Evidence at protein level	UP000001425: Chromosome
Q55721	slr0642			Folate-biopterin transporter	FUNCTION: Mediates folate monoglutamate transport involved in tetrahydrofolate biosynthesis. It also mediates transport of antifolates, such as methotrexate and aminopterin. {ECO:0000269|PubMed:16162503, ECO:0000269|PubMed:19923217}.		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; 5-formyltetrahydrofolate transmembrane transporter activity [GO:0015231]; folic acid transmembrane transporter activity [GO:0008517]; methotrexate transmembrane transporter activity [GO:0015350]; 5-formyltetrahydrofolate transport [GO:0015885]; folic acid transport [GO:0015884]; methotrexate transport [GO:0051958]	5-formyltetrahydrofolate transmembrane transporter activity [GO:0015231]; folic acid transmembrane transporter activity [GO:0008517]; methotrexate transmembrane transporter activity [GO:0015350]	5-formyltetrahydrofolate transport [GO:0015885]; folic acid transport [GO:0015884]; methotrexate transport [GO:0051958]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.					494				reviewed	Evidence at protein level	UP000001425: Chromosome
Q54735	slr1347	ccaA	icfA	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	FUNCTION: Reversible hydration of carbon dioxide. Essential to photosynthetic carbon dioxide fixation, supplies CO(2) to RuBisCO (ribulose bisphosphate carboxylase, rbcL-rbcS) in the carboxysome. {ECO:0000269|PubMed:11859847, ECO:0000269|PubMed:17993516, ECO:0000269|PubMed:9617794, ECO:0000269|Ref.4}.	CATALYTIC ACTIVITY: Reaction=H(+) + hydrogencarbonate = CO2 + H2O; Xref=Rhea:RHEA:10748, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:17544; EC=4.2.1.1; Evidence={ECO:0000269|PubMed:17993516, ECO:0000269|PubMed:9617794};	carboxysome [GO:0031470]; carbonate dehydratase activity [GO:0004089]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]; carbon fixation [GO:0015977]; carbon utilization [GO:0015976]; photosynthesis [GO:0015979]	carbonate dehydratase activity [GO:0004089]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]	carbon fixation [GO:0015977]; carbon utilization [GO:0015976]; photosynthesis [GO:0015979]	carboxysome [GO:0031470]	SUBCELLULAR LOCATION: Carboxysome {ECO:0000269|PubMed:11859847, ECO:0000269|PubMed:17993516, ECO:0000269|PubMed:9617794}. Note=This cyanobacterium makes beta-type carboxysomes. Associates with the shell portion of carboxysomes. {ECO:0000269|PubMed:17993516}.		COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:27729545, ECO:0007744|PDB:5SWC};  Note=Binds 1 zinc ion per monomer, a water molecule forms the fourth ligand. {ECO:0000269|PubMed:27729545};	SUBUNIT: A hexamer formed by a trimer of dimers. Interacts with the first 260 residues of CcmM; both the N-terminal 206 residues and the C-terminal tail contribute to CcmM binding (PubMed:27729545). Interacts with full-length and the N-terminal 249 residues of CcmM. A probable CcmM-CcaA-CcmN complex as well as a CcaA-RuBisCO-CcmM complex can also be isolated (PubMed:17993516). {ECO:0000269|PubMed:17993516, ECO:0000269|PubMed:27729545}.	4.2.1.1	274	ACTIVITY REGULATION: Inhibited by ethoxyzolamide. {ECO:0000269|PubMed:9617794}.	BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: Note=kcat is 3340 sec(-1) for full length enzyme at pH 7.5. {ECO:0000269|PubMed:27729545};		reviewed	Evidence at protein level	UP000001425: Chromosome
P29255	slr1835	psaB		Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	FUNCTION: PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin/cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6.	CATALYTIC ACTIVITY: Reaction=hnu + oxidized [2Fe-2S]-[ferredoxin] + reduced [plastocyanin] = oxidized [plastocyanin] + reduced [2Fe-2S]-[ferredoxin]; Xref=Rhea:RHEA:30407, Rhea:RHEA-COMP:10000, Rhea:RHEA-COMP:10001, Rhea:RHEA-COMP:10039, Rhea:RHEA-COMP:10040, ChEBI:CHEBI:29036, ChEBI:CHEBI:30212, ChEBI:CHEBI:33737, ChEBI:CHEBI:33738, ChEBI:CHEBI:49552; EC=1.97.1.12;	integral component of membrane [GO:0016021]; plasma membrane-derived photosystem I [GO:0030094]; plasma membrane-derived thylakoid membrane [GO:0031676]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]	photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	integral component of membrane [GO:0016021]; plasma membrane-derived photosystem I [GO:0030094]; plasma membrane-derived thylakoid membrane [GO:0031676]	SUBCELLULAR LOCATION: Cellular thylakoid membrane; Multi-pass membrane protein.		COFACTOR:  Note=PSI electron transfer chain: 5 chlorophyll a, 1 chlorophyll a', 2 phylloquinones and 3 4Fe-4S clusters. PSI core antenna: 90 chlorophyll a, 22 carotenoids, 3 phospholipids and 1 galactolipid. P700 is a chlorophyll a/chlorophyll a' dimer, A0 is one or more chlorophyll a, A1 is one or both phylloquinones and FX is a shared 4Fe-4S iron-sulfur center. {ECO:0000250};	SUBUNIT: The PsaA/B heterodimer binds the P700 chlorophyll special pair and subsequent electron acceptors. PSI consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The cyanobacterial PSI reaction center is composed of one copy each of PsaA,B,C,D,E,F,I,J,K,L,M and X, and forms trimeric complexes (By similarity). {ECO:0000250}.	1.97.1.12	731				reviewed	Evidence at protein level	UP000001425: Chromosome
Q55354	smr0007	psbL		Photosystem II reaction center protein L (PSII-L)	FUNCTION: One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. This subunit is found at the monomer-monomer interface and is required for correct PSII assembly and/or dimerization (By similarity). Required for PSII activity, at least in part due to its effects on PSII assembly. May make specific contact(s) with lipids. {ECO:0000255|HAMAP-Rule:MF_01317, ECO:0000269|PubMed:18834146, ECO:0000269|PubMed:2116128}.		integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; photosynthesis [GO:0015979]		photosynthesis [GO:0015979]	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]	SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01317, ECO:0000269|PubMed:12069591}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01317}.			SUBUNIT: Cyanobacterial PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Ycf12, at least 3 peripheral proteins PsbO, PsbU, PsbV and a large number of cofactors. It forms dimeric complexes. {ECO:0000255|HAMAP-Rule:MF_01317, ECO:0000269|PubMed:12069591}.		39				reviewed	Evidence at protein level	UP000001425: Chromosome
P74102	slr1963			Orange carotenoid-binding protein (OCP) [Cleaved into: Red carotenoid-binding protein (RCP)]	FUNCTION: Acts as a blue-light photoreceptor and photo-protectant. Essential for inhibiting damaged induced by excess blue-green light via a process known as non-photochemical quenching (NPQ) (PubMed:16531492, PubMed:18687902, PubMed:20368334). In the dark or dim light the stable inactive form (OCP-O) is orange, upon illumination with blue-green light it converts to a metastable active red form (OCP-R), inducing energy dissipation, quenching cellular fluorescence via NPQ (PubMed:18687902, PubMed:20368334). One OCP-R molecule is sufficient to quench 1 phycobilisome (PubMed:21764991). More OCP-R accumulates under high-light and low temperature; in the dark OCP-R spontaneously reverts to OCP-O (PubMed:18687902). Reversion of OCP-O is accelerated by FRP (PubMed:20534537, PubMed:23716688). A kinetic study suggests conversion of OCP-O to OCP-R is limited by cis-trans proline isomerization of either Gln224-Pro225 or Pro225-Pro226 (PubMed:21907180). {ECO:0000269|PubMed:16531492, ECO:0000269|PubMed:18687902, ECO:0000269|PubMed:20368334, ECO:0000269|PubMed:20534537, ECO:0000269|PubMed:21764991, ECO:0000269|PubMed:21907180, ECO:0000269|PubMed:23716688}.		phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; chloride ion binding [GO:0031404]; photoreceptor activity [GO:0009881]; light absorption [GO:0016037]; protein-chromophore linkage [GO:0018298]	chloride ion binding [GO:0031404]; photoreceptor activity [GO:0009881]	light absorption [GO:0016037]; protein-chromophore linkage [GO:0018298]	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]	SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000269|PubMed:16531492}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000269|PubMed:16531492}. Note=Associated with the phycobilisome on the cytoplasmic side of the thylakoid membrane (PubMed:16531492). {ECO:0000269|PubMed:16531492}.		COFACTOR: Name=3'-hydroxyechinenone; Xref=ChEBI:CHEBI:80214; Evidence={ECO:0000269|PubMed:18687902, ECO:0000269|PubMed:20368334};  Note=Binds 1 carotenoid molecule per subunit (3'-hydroxyechinenone is the physiological carotenoid, echinenone (70%), 3'-hydroxyechinenone (16%) or zeaxanthin (14%) were all detected in overexpressed, crystallized protein), makes contacts with both domains of the whole protein (PubMed:20368334). Upon RCP generation the carotenoid translocates 12 Angstroms into the N-terminal domain, altering its binding and photochemical properties (PubMed:26113721). {ECO:0000269|PubMed:20368334, ECO:0000269|PubMed:26113721};	SUBUNIT: Monomer (PubMed:20368334). Interacts with the APC core of the phycobilisome (PB), probably at a ratio of 1:1 in a light-independent manner; possibly only OCP-R binds to PBs. Interacts with FRP (PubMed:20534537, PubMed:23716688). Detachment from PBs is accelerated by FPR (PubMed:21764991). {ECO:0000269|PubMed:20368334, ECO:0000269|PubMed:20534537, ECO:0000269|PubMed:21764991, ECO:0000269|PubMed:23716688}.		317				reviewed	Evidence at protein level	UP000001425: Chromosome
